Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Gene Names,Uniplot,Function,Disease,Idication
2afw_v,3,2.547,0.8491,0.675028,0,1,2,0,0,0,Glutaminyl-peptide cyclotransferase,TRANSFERASE,RTN4R NOGOR UNQ330/PRO526,QPCT_HUMAN,Responsible for the biosynthesis of pyroglutamyl peptides. Has a bias against acidic and tryptophan residues adjacent to the N-terminal glutaminyl residue and a lack of importance of chain length after the second residue. Also catalyzes N-terminal pyroglu,NONE,NONE
1rtk_v,4,3.293,0.8232,2.32913,1,1,2,0,0,0,Complement factor B,HORMONE/GROWTH FACTOR,QPCT,CFAB_HUMAN,"Factor B which is part of the alternate pathway of the complement system is cleaved by factor D into 2 fragments: Ba and Bb. Bb, a serine protease, then combines with complement factor 3b to generate the C3 or C5 convertase. It has also been implicated in",NONE,NONE
1t7v_v,4,3.237,0.8093,2.26732,0,3,1,0,0,0,Zinc-alpha-2-glycoprotein,LIPID BINDING PROTEIN,CFB BF BFD,ZA2G_HUMAN,Stimulates lipid degradation in adipocytes and causes the extensive fat losses associated with some advanced cancers. May bind polyunsaturated fatty acids.,NONE,NONE
1waw_v,4,3.212,0.8031,2.00277,1,2,1,0,0,0,Chitotriosidase-1,NONE,AZGP1 ZAG ZNGP1,Q13231,Involved in chitinase activity,NONE,NONE
1z68_v,3,2.373,0.791,0.084579,0,2,1,0,0,0,Seprase,LYASE,CHIT1,SEPR_HUMAN,"May have a role in tissue remodeling during development and wound healing, and may contribute to invasiveness in malignant cancers.",NONE,Non-Hodgkin lymphoma;Melanoma;Cancer;Non-small-cell lung cancer;Chronic lymphocytic leukemia;Neutropenia;Pancreas tumor;Hematological disease;Renal tumor
1muo_v,3,2.319,0.7731,-0.08784,0,2,1,0,0,0,Serine/threonine-protein kinase 6,TRANSFERASE,FAP,STK6_HUMAN,"May play a role in cell cycle regulation during anaphase and/or telophase, in relation to the function of the centrosome/spindle pole region during chromosome segregation. May be involved in microtubule formation and/or stabilization. May play a key role",Defects in AURKA are responsible for numerical centrosome aberrations including aneuploidy.,Pancreas tumor;Cancer;Solid tumor
1m4u_v,4,3.07,0.7674,1.93364,0,3,1,0,0,0,Bone morphogenetic protein 7,HORMONE/GROWTH FACTOR,BMP7 OP1,BMP7_HUMAN,Induces cartilage and bone formation. May be the osteoinductive factor responsible for the phenomenon of epithelial osteogenesis. Plays a role in calcium regulation and bone homeostasis.,NONE,Tooth disease;Brain injury;Motor neurone disease;Cerebrovascular ischemia;Bone disease;Parkinsons disease;Renal failure;Periodontal disease
1jdn_v,3,2.289,0.7628,0.154671,0,0,3,0,0,0,Atrial natriuretic peptide clearance receptor,SIGNALING PROTEIN,NPR3 ANPRC C5orf23 NPRC,ANPRC_HUMAN,"Receptor for natriuretic peptide hormones. Has broad specificity and can bind several distinct natriuretic peptides, including atrial natriuretic peptide (NPPA) and brain natriuretic peptide (NPPB). Does not have guanylate cyclase activity.",NONE,NONE
1fh0_v,3,2.276,0.7586,-0.10333,1,1,1,0,0,0,Cathepsin L2,HYDROLASE,CTSV CATL2 CTSL2 CTSU UNQ268/PRO305,CATL2_HUMAN,Cysteine protease. May have an important role in corneal physiology.,NONE,Rheumatoid arthritis;Osteoarthritis;Cancer;Osteoporosis
1s3w_v,4,2.961,0.7403,1.43979,2,0,2,0,0,0,Dihydrofolate reductase,OXIDOREDUCTASE,DHFR,DYR_HUMAN,NONE,NONE,NONE
1cvw_v,4,2.92,0.73,1.17773,1,1,0,2,0,0,Coagulation factor VII,HYDROLASE,F7,FA7_HUMAN,"Initiates the extrinsic pathway of blood coagulation. Serine protease that circulates in the blood in a zymogen form. Factor VII is converted to factor VIIa by factor Xa, factor XIIa, factor IXa, or thrombin by minor proteolysis. In the presence of tissue","Defects in F7 are the cause of factor VII deficiency [MIM:227500]. Factor VII deficiency is a rare hereditary hemorrhagic disease. The clinical picture can be very severe, with the early occurrence of intracerebral hemorrhages or hemarthroses, or, in contrast, moderate with cutaneous-mucosal hemorrhages (epistaxis, menorrhagia) or hemorrhages provoked by a surgical intervention. Numerous subjects are completely asymptomatic despite a very low F7 level.",Deep vein thrombosis;Blood clotting disorder;Cancer;Ebola virus infection;Thrombosis;Lung embolism;Unstable angina;Angina;Myocardial infarction;Thromboembolism;Cardiovascular disease
1sd1_v,4,2.904,0.7261,1.34505,0,2,2,0,0,0,S-methyl-5-thioadenosine phosphorylase,NONE,MTAP MSAP,Q13126,Nucleotide transport and metabolism,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance"
1zxq_v,3,2.158,0.7195,-0.24425,0,0,3,0,0,0,Intercellular adhesion molecule 2,CELL ADHESION,ICAM2,ICAM2_HUMAN,ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2). ICAM2 may play a role in lymphocyte recirculation by blocking LFA-1-dependent cell adhesion. It mediates adhesive interactions important for antigen- specific im,NONE,NONE
1xlw_v,3,2.151,0.7171,-0.23272,0,2,1,0,0,0,Cholinesterase,HYDROLASE,BCHE CHE1,CHLE_HUMAN,NONE,"Defects in BCHE are the cause of butyrylcholinesterase deficiency (BChE deficiency) [MIM:177400]. BChE deficiency is a metabolic disorder characterized by prolonged apnoea after the use of certain anesthetic drugs, including the muscle relaxants succinylcholine or mivacurium and other ester local anesthetics. The duration of the prolonged apnoea varies significantly depending on the extent of the enzyme deficiency. BChE deficiency is a multifactorial disorder. The hereditary condition is transmitted as an autosomal recessive trait.","Neurotoxicity, drug-induced;Toxicity;Alzheimers disease"
1xn0_v,3,2.151,0.7169,-0.51186,0,2,1,0,0,0,"cAMP-specific 3,5-cyclic phosphodiesterase 4B",HYDROLASE,PDE4B DPDE4,PDE4B_HUMAN,May be involved in mediating central nervous system effects of therapeutic agents ranging from antidepressants to antiasthmatic and anti-inflammatory agents.,NONE,Chronic obstructive pulmonary disease;Asthma
1yxu_v,4,2.854,0.7135,1.23728,0,4,0,0,0,0,Proto-oncogene serine/threonine-protein kinase Pim-1,TRANSFERASE,PIM1,PIM1_HUMAN,Plays a role in signal transduction in blood cells. Contributes to both cell proliferation and survival and thus provide a selective advantage in tumorigenesis. May affect the structure or silencing of chromatin by phosphorylating HP1 gamma/CBX3.,NONE,Cancer
1bn4_v,4,2.848,0.7119,0.963055,3,1,0,0,0,0,Carbonic anhydrase 2,LYASE,CA2,CAH2_HUMAN,Essential for bone resorption and osteoclast differentiation (By similarity). Reversible hydration of carbon dioxide.,"Defects in CA2 are the cause of autosomal recessive osteopetrosis type 3 (OPTB3) [MIM:259730]; also known as osteopetrosis with renal tubular acidosis, carbonic anhydrase II deficiency syndrome, Guibaud-Vainsel syndrome or marble brain disease. Osteopetrosis is a rare genetic disease characterized by abnormally dense bone, due to defective resorption of immature bone. The disorder occurs in two forms: a severe autosomal recessive form occurring in utero, infancy, or childhood, and a benign autosomal dominant form occurring in adolescence or adulthood. Autosomal recessive osteopetrosis is usually associated with normal or elevated amount of non-functional osteoclasts. OPTB3 is associated with renal tubular acidosis, cerebral calcification (marble brain disease) and in some cases with mental retardation.",NONE
1l6m_v,4,2.841,0.7102,0.949999,1,1,1,0,1,0,Neutrophil gelatinase-associated lipocalin,TRANSPORT PROTEIN,LCN2 HNL NGAL,NGAL_HUMAN,Transport of small lipophilic substances (Potential).,NONE,NONE
1xmn_v,4,2.83,0.7075,0.949782,1,1,0,2,0,0,Prothrombin,BLOOD CLOTTING,F2,THRB_HUMAN,"Thrombin, which cleaves bonds after Arg and Lys, converts fibrinogen to fibrin and activates factors V, VII, VIII, XIII, and, in complex with thrombomodulin, protein C. Functions in blood homeostasis, inflammation and wound healing.","Defects in F2 are the cause of various forms of dysprothrombinemia [MIM:176930].;Genetic variations in F2 may be a cause of susceptibility to ischemic stroke [MIM:601367]; also known as cerebrovascular accident or cerebral infarction. A stroke is an acute neurologic event leading to death of neural tissue of the brain and resulting in loss of motor, sensory and/or cognitive function. Ischemic strokes, resulting from vascular occlusion, is considered to be a highly complex disease consisting of a group of heterogeneous disorders with multiple genetic and environmental risk factors.",Deep vein thrombosis;Thrombocytopenia;Cerebrovascular disease;Wound healing;Ebola virus infection;Bone injury;Cerebrovascular ischemia;Restenosis;Thrombosis;Diabetic foot ulcer;Ischemic heart disease;Marburg virus infection;Myocardial disease;Embolism and thrombosis;Myocardial infarction;Cartilage disease;Thromboembolism;Coronary artery disease;Hemophilia;Blood clotting disorder;Bleeding;Atrial fibrillation;Skin burns;Disseminated intravascular coagulation;Connective tissue disease;Lung embolism;Cardiovascular disease;Sepsis;Angina;Infarction
1jd0_v,3,2.092,0.6972,-0.61029,0,2,1,0,0,0,Carbonic anhydrase 12,LYASE,CA12,CAH12_HUMAN,Reversible hydration of carbon dioxide.,NONE,NONE
1v3q_v,3,2.088,0.696,-0.82026,1,2,0,0,0,0,Purine nucleoside phosphorylase,TRANSFERASE,PNP NP,PNPH_HUMAN,NONE,Defects in NP are the cause of nucleoside phosphorylase deficiency (NP deficiency) [MIM:164050]. It leads to a severe T- cell immunodeficiency with neurologic disorder in children.,T-cell lymphoma;Autoimmune disease;HIV infection;Dermatitis;Chronic lymphocytic leukemia;Acquired Immune Deficiency Syndrome;Inflammation;Multiple sclerosis;Solid tumor;Psoriasis;Non-Hodgkin lymphoma;Viral infection;Cancer;Rheumatoid arthritis;Leukemia;B-cell acute lymphoblastic leukemia;Cutaneous T-cell lymphoma;Ocular disease;Transplant rejection;Immune disorder
2b3k_v,3,2.085,0.695,-0.5305,0,2,1,0,0,0,Methionine aminopeptidase 1,HYDROLASE,CDK2 CDKN2,AMPM1_HUMAN,Removes the amino-terminal methionine from nascent proteins (By similarity).,NONE,NONE
1e1v_v,4,2.752,0.6879,0.889142,1,2,1,0,0,0,Cell division protein kinase 2,NONE,GSR GLUR GRD1,P24941,Involved in protein kinase activity,NONE,NONE
1xan_v,4,2.738,0.6846,0.725221,2,1,1,0,0,0,"Glutathione reductase, mitochondrial",NONE,FNTA,P00390,RNA processing and modification,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance"
2iej_v,4,2.702,0.6754,0.890409,2,2,0,0,0,0,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,TRANSFERASE,PPARG NR1C3,FNTA_HUMAN,Catalyzes the transfer of a farnesyl or geranyl-geranyl moiety from farnesyl or geranyl-geranyl pyrophosphate to a cysteine at the fourth position from the C-terminus of several proteins having the C-terminal sequence Cys-aliphatic-aliphatic-X. The alpha,NONE,NONE
1fm6_v,4,2.693,0.6732,0.473804,3,1,0,0,0,0,Peroxisome proliferator-activated receptor gamma,TRANSCRIPTION,PAH,PPARG_HUMAN,"Receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Once activated by a ligand, the receptor binds to a promoter element in the gene for acyl-CoA oxidase and activates its transcription. It therefore controls the pero","Defects in PPARG can lead to type 2 insulin-resistant diabetes and hyptertension.;Defects in PPARG may be associated with susceptibility to obesity [MIM:601665].;Defects in PPARG may be associated with colon cancer.;Defects in PPARG are the cause of familial partial lipodystrophy type 3 (FPLD3) [MIM:604367]. Familial partial lipodystrophies (FPLD) are a heterogeneous group of genetic disorders characterized by marked loss of subcutaneous (sc) fat from the extremities. Affected individuals show an increased preponderance of insulin resistance, diabetes mellitus and dyslipidemia.;Variation in PPARG is associated with carotid intimal medial thickness 1 (CIMT1) [MIM:609338]. CIMT is a measure of atherosclerosis that is independently associated with traditional atherosclerotic cardiovascular disease risk factors and coronary atherosclerotic burden. 35 to 45% of the variability in multivariable-adjusted CIMT is explained by genetic factors.",Asthma;Cerebrovascular ischemia;Conjunctivitis;Inflammation;Multiple sclerosis;Fibrosis;Unidentified indication;Psoriasis;Heart arrhythmia;Rheumatoid arthritis;Atherosclerosis;Corneal disease;Cardiovascular disease;Ulcerative colitis;Alzheimers disease;Infertility;Syndrome X;Lipid metabolism disorder;Non-insulin dependent diabetes;Metabolic disorder;Diabetic complication;Hyperlipidemia;Lacrimal gland disease;Myocardial infarction;Obesity;Coronary artery disease;Insulin dependent diabetes;Vascular disease;Cancer;Cognitive disorder;Hypertension;Diabetes mellitus;Osteoporosis;Dermatological disease
3pah_v,4,2.689,0.6723,0.697321,1,1,1,1,0,0,Phenylalanine-4-hydroxylase,MONOOXGYGENASE,MMP8 CLG1,PH4H_HUMAN,NONE,"Defects in PAH are the cause of phenylketonuria (PKU) [MIM:261600]. PKU is an autosomal recessive inborn error of phenylalanine metabolism, due to severe phenylalanine hydroxylase deficiency. It is characterized by blood concentrations of phenylalanine persistently above 1200 mumol (normal concentration 100 mumol) which usually causes mental retardation (unless low phenylalanine diet is introduced early in life). They tend to have light pigmentation, rashes similar to eczema, epilepsy, extreme hyperactivity, psychotic states and an unpleasant mousy odor.;Defects in PAH are the cause of non-phenylketonuria hyperphenylalaninemia (Non-PKU HPA) [MIM:261600]. Non-PKU HPA is a mild form of phenylalanine hydroxylase deficiency characterized by phenylalanine levels persistently below 600 mumol, which allows normal intellectual and behavioral development without treatment. Non-PKU HPA is usually caused by the combined effect of a mild hyperphenylalaninemia mutation and a severe one.;Defects in PAH are the cause of hyperphenylalaninemia (HPA) [MIM:261600]. HPA is the mildest form of phenylalanine hydroxylase deficiency.",Phenylketonuria;Sickle cell anemia;Vascular disease;Genetic disorder;Diabetic nephropathy;Hypertension;Ataxia;Peripheral arterial occlusive disease;Coronary artery disease
1jao_v,4,2.687,0.6718,0.810677,1,1,2,0,0,0,Neutrophil collagenase,COMPLEX (METALLOPROTEASE/INHIBITOR),ISG20 HEM45,MMP8_HUMAN,"Can degrade fibrillar type I, II, and III collagens.",NONE,NONE
1wlj_v,5,3.313,0.6626,2.13165,0,4,1,0,0,0,Interferon-stimulated gene 20 kDa protein,HYDROLASE,TNK2 ACK1,ISG20_HUMAN,"Exonuclease with specificity for single-stranded RNA and, to a lesser extent for DNA. Degrades RNA at a rate that is approximately 35-fold higher than its rate for single-stranded DNA. Involved in the antiviral function of IFN against RNA viruses.",NONE,NONE
2wi2_v,4,2.646,0.6615,0.602668,2,1,1,0,0,0,NONE,NONE,BAG1 HAP,NONE,NONE,NONE,NONE
1u4d_v,5,3.296,0.6592,2.18125,0,2,3,0,0,0,Activated CDC42 kinase 1,TRANSFERASE,LGALS7 PIG1; LGALS7B,ACK1_HUMAN,Downstream effector of CDC42 which mediates CDC42- dependent cell migration via phosphorylation of BCAR1. Binds to both poly- and mono-ubiquitin and regulates ligand-induced degradation of EGFR. Participates in clathrin-mediated endocytosis. May be involv,NONE,Cancer
1hx1_v,4,2.63,0.6576,0.702719,0,1,2,1,0,0,BAG family molecular chaperone regulator 1,CHAPERONE/CHAPERONE INHIBITOR,ANG RNASE5,BAG1_HUMAN,"Inhibits the chaperone activity of HSP70/HSC70 by promoting substrate release. Inhibits the pro-apoptotic function of PPP1R15A, and has anti-apoptotic activity. Markedly increases the anti-cell death function of BCL2 induced by various stimuli.","May be linked to the cryptophthalmos syndrome (Fraser syndrome), an autosomal recessive disorder characterized by the failure of eyes fissures to form during embryogenesis, webbed fingers, and atresia of ear canals, anus, vagina, alimentary tract, or larynx. All these developmental processes require cell death.",NONE
5gal_v,4,2.568,0.6419,0.421724,0,4,0,0,0,0,Galectin-7,LECTIN,PYGL,LEG7_HUMAN,Could be involved in cell-cell and/or cell-matrix interactions necessary for normal growth control. Pro-apoptotic protein that functions intracellularly upstream of JNK activation and cytochrome c release.,NONE,NONE
1k59_v,4,2.561,0.6402,0.01315,0,4,0,0,0,0,Angiogenin,HYDROLASE,HK1,ANGI_HUMAN,"May function as a tRNA-specific ribonuclease that binds to actin on the surface of endothelial cells; once bound, angiogenin is endocytosed and translocated to the nucleus, thereby promoting the endothelial invasiveness necessary for blood vessel formatio","Defects in ANG are the cause of susceptibility to amyotrophic lateral sclerosis type 9 (ALS9) [MIM:611895]. ALS is a degenerative disorder of motor neurons in the cortex, brain stem and spinal cord. ALS is characterized by muscular weakness and atrophy.",NONE
1fa9_v,4,2.542,0.6355,0.359735,0,2,2,0,0,0,"Glycogen phosphorylase, liver form",NONE,CTSB CPSB,P06737,Carbohydrate transport and metabolism,NONE,For nutritional supplementation and for treating dietary shortage or imbalance.
1hkc_v,5,3.145,0.629,1.9138,0,3,2,0,0,0,Hexokinase-1,PHOSPHOTRANSFERASE,NEU2,HXK1_HUMAN,NONE,Defects in HK1 are the cause of hexokinase deficiency [MIM:235700]. Hexokinase deficiency is a rare autosomal recessive disease with nonspherocytic hemolytic anemia as the predominant clinical feature.,NONE
1csb_v,4,2.507,0.6269,0.172881,1,3,0,0,0,0,Cathepsin B,HYDROLASE (THIOL PROTEASE),SRC SRC1,CATB_HUMAN,Thiol protease which is believed to participate in intracellular degradation and turnover of proteins. Has also been implicated in tumor invasion and metastasis.,NONE,Myocardial infarction;Arthritis;Inflammation;Cancer
1vcu_v,4,2.491,0.6227,0.187774,0,1,1,2,0,0,Sialidase-2,HYDROLASE,ADH1B ADH2,NEUR2_HUMAN,Hydrolyzes sialylated compounds.,NONE,NONE
1ksw_v,5,3.088,0.6175,1.88539,1,1,2,0,1,0,Proto-oncogene tyrosine-protein kinase Src,TRANSFERASE,MMP3 STMY1,SRC_HUMAN,NONE,NONE,Hypercalcemia;Cancer;Osteoporosis;Cerebrovascular ischemia;Bone metastases;Metastasis;Solid tumor
1u3v_v,4,2.458,0.6145,-0.11551,2,0,1,1,0,0,Alcohol dehydrogenase 1B,OXIDOREDUCTASE,AHCY SAHH,ADH1B_HUMAN,NONE,NONE,NONE
1d7x_v,4,2.456,0.6139,0.28147,1,1,2,0,0,0,Stromelysin-1,HYDROLASE,TYRO3 BYK DTK RSE SKY TIF,MMP3_HUMAN,"Can degrade fibronectin, laminin, gelatins of type I, III, IV, and V; collagens III, IV, X, and IX, and cartilage proteoglycans. Activates procollagenase.",NONE,NONE
1a7a_v,5,2.938,0.5876,1.10915,0,3,2,0,0,0,Adenosylhomocysteinase,HYDROLASE,CTSK CTSO CTSO2,SAHH_HUMAN,Adenosylhomocysteine is a competitive inhibitor of S- adenosyl-L-methionine-dependent methyl transferase reactions; therefore adenosylhomocysteinase may play a key role in the control of methylations via regulation of the intracellular concentration of ad,Defects in AHCY are a cause of hypermethioninemia [MIM:180960]. It is a disease characterized by elevated levels of methionine in the sera.,Inflammation;Cancer
1rhf_v,4,2.344,0.5859,0.000587,0,1,1,2,0,0,Tyrosine-protein kinase receptor TYRO3,TRANSFERASE,CSNK1G2 CK1G2,TYRO3_HUMAN,"May be involved in cell adhesion processes, particularly in the central nervous system. In case of filovirus infection, seems to function as a cell entry factor.",NONE,NONE
1w6j_v,5,2.922,0.5845,1.09689,2,2,1,0,0,0,Lanosterol synthase,ISOMERASE,PDE3B,ERG7_HUMAN,"Catalyzes the cyclization of (S)-2,3 oxidosqualene to lanosterol, a reaction that forms the sterol nucleus.",NONE,Hyperlipidemia;Hypercholesterolemia;Atherosclerosis
